Unnamed: 0,type,review,label,file
45262,train,"I'm gonna tip the scales here a bit and say I enjoyed this. However, the cartoon is really only going to appeal to those who have very absurdist tendencies. It's definitely something that most people will not get, as is the nature of absurdism.<br /><br />the animation is horrible, but yes, that's the point. The main character is foul mouthed, violent, and stupid. no redeeming qualities whatsoever. his wife shrieks and wails, apparently just barely capable of the most basic communication skills. most of these stories completely lack any kind of point.<br /><br />but again, that's the point ;)<br /><br />If non sequiters, foul language, and complete and utter randomness are your thing, you're going to love this.<br /><br />It is really short, so I would probably rent instead of buying.",pos,5737_7.txt
49850,train,"I first saw Ice Age in the Subiaco Cinemas when it came out, back in '02. I was only 13 at the time, but even then I liked it. It had some sort of warmth.<br /><br />We've had it on video for a number of years now and no matter how many times you watch it, it never gets boring. This is because of the one element which makes it different from all of the other 3D animations made at the time - The characters have no particular 'home' which they leave. They are nomads, and that's really refreshing and uplifting to watch.<br /><br />Also, each individual character on the surface, appear to be just putting up with each other, but they're really all good friends. As well, all of the characters have their own charms (even the bad guys). Sid the sloth is charming in his annoying, over-affectionate and naive sort of way. Manny is adorable in his depressed, reclusive character, and so on and so forth.<br /><br />Another great point about the movie is the beauty of the animation. All the environments and characters were modeled originally by clay, giving the film an artistic edge.<br /><br />Another aspect that adds to the feel of the movie, is that gender means very little. There are hardly any female characters, but you don't really realize that until after you watch it a few times and even then it has little effect on the way you view the film. Due to this, there's also no mention of a nuclear family which would really be pathetic in a setting like the ice age.<br /><br />All in all, Ice Age is a great movie and is proof on how much effort was put into 3d animations before Shrek 2 and The Incredibles came out.",pos,9867_10.txt
30394,train,"the cover of the box makes this movie look really good, don't be fooled. splatter university came out in 1984 which was the last good year for horror, but this movie sucks. the characters are so annoying. only the teacher is cool. there is like no plot to this movie, who the hell would ever produce this waste of a film?<br /><br />spoilers up ahead<br /><br />the teacher dies in this, and it was a female, we all know that we must have a female surviver, if you're going to break the rules do it in a good horror flick not this waste",neg,3605_1.txt
90177,train,"Possible inane plot spoilers<br /><br />After having given us one of the bigger and more notable bombs in recent years with Pluto Nash, Eddie Murphy now brings us Daddy Day Care. Though I knew it was probably a long shot, I decided to give this movie a try figuring Eddie was due for a winner. I've never had a long shot finish in the money, and thanks to Daddy Day Care,I still haven't had the big one come in.<br /><br />Unless you're a brain dead zombie from Night of The Living Dead, you know what the plot of this movie is going to be before the $8.50 even leaves your hand for the movie ticket. That's not a problem because that's the way it is with most films these days, especially formula comedies. If they give you a snappy script with funny dialogue, tolerable acting, characters you can care about, and enough humorous moments so that you don't miss that $8.50, then any film can make the grade. I don't think having those elements are too much to ask for, but the people involved in Daddy Day Care sure must think so.<br /><br />Very early in this film they give us Jeff Garlin and Steve Zahn dressed as broccoli and a carrot, so that they can promote some kind of vegetable flavored cereal. The whole premise is so idiotic, that I'm thinking how could this be funny? As it turns out, I'm right, and just as I am predicting that the kids will turn on Garlin and Zahn in their tossed salad outfits then begin throwing things and attacking the vegetables, it happens on the screen. If you think your kids hate vegetables now, you'll never get them in the little tykes after they see this nonsense. Not one minute, not one second, not one millisecond of this is remotely funny. To top it off, I'm now in a sour mood as I think of the $8.50 I once had, and the almost ten dollars I had spent on popcorn and soda. I'm thinking there's still a chance Daddy Day Care can recover and get better.<br /><br />Of course, Murphy Zahn and Garlin, are soon fired, so out of financial necessity, they start Daddy Day Care. Now at this point, we start getting the fish out of water story, and our hopes are high that the fun will now begin. It doesn't. We know the kids are going to start out by giving Murphy and Garlin a hard time. There should be some funny gags here, but there isn't. The kids are annoying and Murphy and Garlin do nothing more than stand around as targets for their shenanigans. What is worse, they feed the kids a bunch of ding dongs, making them run around aimlessly even more, getting into more things and being more obnoxious than ever, and not doing it in any way to suggest the slightest taste of humor. To top it off, we get to see the kid can't hit the potty scene which was in all the previews. Believe me folks, it played better as a coming attraction then it does here. Come to think of it, the whole bit was in the trailer so what you saw is what you get. <br /><br />Later, when Steve Zahn finally returns to help the guys out with their Day Care, does the audience finally chuckle for the first time since they sat down to watch this turkey. He's the best thing going in this movie, but isn't used nearly enough. All the rest of the goings on you can guess: the boys will learn to do better, the kids will like them, more parents will bring their kids, blah blah blah. Only when Zahn is on the screen does any of this play out with any sense of comedy.<br /><br />Anjelica Houston, who should know better by now, plays the villain running a competing day care center. I think she is trying to play it in such a way so that we think it is campy enough for there to be humor in her performance. We can laugh while we hate her. We don't laugh, and we don't hate her, because we just don't care.<br /><br />Daddy Day care does try to redeem itself toward the end and show that it has somewhat of a heart. It is way too little, way too unfunny, and way too late to salvage this romper room rubbish. If you must watch a fish out of water story about kids, I suggest you head to your nearest store and pick up Kindergarten Cop. Shwarzenegger and the kids are much funnier and Arnold's not even suppose to be a comedienne. Come to think of it though, judging from has last couple of movies, Eddie Murphy is no longer a comic or an actor. What a waste!",unsup,46160_0.txt
95569,train,"I first saw this Three Stooges short a few months ago, and I really loved it! Like with a lot of other Three Stooges shorts that I have seen, I own this one on DVD as part of the Three Stooges Collection, Vol. 2, and because of that, I can watch this one anytime that I want to see the Three Stooges! <br /><br />I really loved the opening where they got into trouble with their rent and the police, and then they accidentally joined the Foreign Legion, and when the Capitan they were supposed to guard got captured, they then dressed up as Santa Claus in order to go and rescue him! <br /><br />This is their fourth best of 1938, behind ""Healthy, Wealthy, and Dumb,"" ""Tassels in the Air,"" and ""Violent Is the Word For Curly!"" I really think that you should see this riot! You will want to watch this short over and over again, as with a lot of the Three Stooges shorts out there! <br /><br />This is one of their best out of their early years, but some of their best are ""Punch Drunks,"" ""Men in Black"",""Violent Is the Word For Curly,"" and ""A Plumbing We Will Go."" You really should see this short! You will really be laughing and laughing at it! <br /><br />10/10",unsup,6012_0.txt
10900,test,"I can only say this: ee03128 from Portugal, I couldn't say it better. The worst movie I've ever seen... and I've seen lots of crap! When I read you comment I thought only about the thoughts I had while watching the movie. When I saw who was one of the script writers I understood it. BalaguerÃ³ uses the same tricks in all his movies. And his scripts are not much better either. And, of course, in Barcelona we have tons of temples and churches around the city so we can keep cursed nuns to scare young Americans coming on vacations. Please, be serious! And I do not want to talk about the quality of the actors... There is something remarkable too. It is fair to recognize it. Compared to the usual level, all the Spanish actors use a fairly good English",neg,8561_1.txt
193,test,"OK, this movie, was the worst display I have seen in years. The actors weren't to bad (I figured it was a b-movie so they were doing b-movie acting). Anyways, I watched this movie, thinking, OH COOL a UFO Sci-Fi movie. WRONG. It was just an excuse for radical Christians to push a message onto people. The last scene was extremely messed up. That is a horrible thing to do to a person to make them believe in something. What someone believe in is a matter of opinion. This movie just shows how corrupted religion is, especially Christianity.<br /><br />If you want to watch a b-movie, this ain't. If you want to watch a movie that is TRYING to brainwash the masses. Well this is the pick of the litter. go right for it. If you are going to convey a message, do it, don't force it. Ridiculous, that people would abuse the media to such a degree. Especially, Christians.",neg,10174_1.txt
98908,train,"My 11 year old son and I enjoyed this movie very much, perhaps because neither of us has read the book. Visually it was a treat to visit Ember, a handmade city with no cars, creative clothing and houses and a community where everyone knows you. It just looked so interesting. <br /><br />The movie got off to a quick start, giving just enough back-story to get the mystery of the plot going. I think it is predictable from the beginning that the kids will find a way out, but how they piece together the clues and the specifics of their escape are unravelled in exciting bits and pieces. The suspense worked on two levels- will they find the way out before the City collapses- and will they find the way out before ""the law"" stops them? <br /><br />While all the actors did a fine job, I particularly enjoyed Saoirse as Lina. And the girls who played Poppy were adorable. <br /><br />My son said the same thing as other reviewers about the end- he would have liked to have seen the whole town pouring out into the light.",unsup,9018_0.txt
59014,train,"I just saw this on a plane (and overseas flight) and I watched it twice, as it was so good. The acting was superb, the script very credible. This is perfect art-house cinema or Netflix material. So when do we get it here? Even just on video? (Is this where I whine that pleasant little gems like this go unnoticed by dumb Americans?) Besides, how many Swiss films will you ever see in your entire life? BTW, the piano playing fooled me entirely. I kept looking and trying to figure out how it was done (hence, the dumb American comment). It will be very easy for anyone who is smarter than the average bear to identify with this story.",unsup,18113_0.txt
93313,train,"This is the 1hr 30min story about 4 guys that fell asleep watching a movie they never could imagine falling asleep to. Well this movie was all that it shouldn't be: 1.Good story 2.Good acting 3.Good special effects (well they weren't tha bad actually)Well anyway just a lame excuse for a movie, splatter movie, horror movie, you name it. The thing is: WE ALL FELL ASLEEP! Alright you get that? Not a good review for a movie when you can say that. 1/10",unsup,48984_0.txt
