review,label
"It's true, no one really expects anything from sequels. But even by that low standard this is a terrible film.<br /><br />Essentially an anthology movie, this fourth installment in the Hellraiser saga tries to be an origins story and a wind-up to the entire series at the same time. An ambitious idea. But none of the cast is given enough screen time to do anything with their characters and rookie director Yagher abandoned the film rather than give in to studio meddling. The result is a steaming pile of mediocrity that even fanboys have trouble defending. Unless you're an ""Alan Smithee"" fan, avoid this one.",0
"This story is an excellent tale of two boys that do whatever they can to get away from there abusive drunkard father. ""Lord of the Rings"" star Elijah Wood is outstanding in this unforgettable role. This movie is one of the main reasons I haven't touched a single beer and never will as long as I live. That might make me sound like a nerd, but that's what I have to say. It is a wonder why this isn't hearld as a classic American tale.",1
I loved this excellent movie. Farrah Fawcett played the part phenomenally and with good heart. She plays a woman who is driven to extreme measures to protect herself and her friends after she is attacked by a stranger. After being rejected by the police she realizes she is on her own.<br /><br />Then one day when she at home alone the stranger breaks into her home and attacks her again. Not being about to call the police or get him out she is forced to spray him in the eyes and imprisons him in her fireplace.<br /><br />I think there is a need for a wake up call to the laws of the land. They are too easy on these criminals. It's time for more harsh punishments.,1
"This is an interesting left turn for Reel 13 Indies. TWO HARBORS is a B&W 75 minute film from Minnesota that features non-actors and is about two people finding a connection through a search for alien life. I applaud the boldness of the Reel 13 programmers of thinking out-of-the-box when selecting this film. I just wish they had picked a stronger film to be bold with. As a matter of fact, I wonder if the choice had more to do with the uniqueness of the film than with the actual quality of the film itself (Not that TWO HARBORS is completely without merit, but I'll get to that a little later). <br /><br />As is common with independent films, TWO HARBORS is limited in terms of location. There are only two real locations Â? a large junk dealership market and a very teeny trailer, which is the home of the middle-aged main character, Vic, played by Alex Cole. Writer/director James Vculek uses the market setting to provide exposition about Vic, who is one of the dealers there. He has various people walk up to Vic and start very long conversations that provides us with just two pieces of information Â? Vic sells space toys (he prefers to call them ""outer space action figures"") and he is a caustic asshole. This is emblematic of one of the two key problems with TWO HARBORS - all the chatting. I've said it before and I'll say it again Â? we are dealing with a visual medium and filmmakers need to work harder to tell their stories visually. There are exceptions, of course, but generally, endless patter is not so engaging on film Â? particularly if the dialogue is being used as exposition. Pretty much all the conversations in the film are long and unnecessarily verbose. A notable example would be a few scenes which feature Vic trying to play himself off as a Boy Scout leader in order to get a discount at a store. He argues with the clerk back and forth and these scenes don't even advance the plot one iota. This is the kind of thing that makes even a 75 minute film feel long.<br /><br />The other problem with TWO HARBORS is the acting. I may be a bit of a curmudgeon when it comes to performance in film, but I really don't feel like there's a good excuse for not having good actors in your films. There are plenty of good actors out there, many of which willing to work on low-budget projects Â? even in Minnesota. Many filmmakers eschew the importance of acting ability as being secondary to their visuals, but that is naÃ¯ve. In narrative film-making, next to the story, nothing is more important than the acting/performances. If you don't believe the people enacting your story, your audience is lost.<br /><br />Originally, I thought Vculek was using non-actors, but as the film went on, I decided that they were probably community theater-type actors. It wasn't that they were uncomfortable on camera. It's that they were overly theatrical (i.e. big). Granted, the best of the actors were the two leads Â? Cole and Catherine E. Johnson as Cassie, a lonely young girl that gets caught up in Vic's extra-terrestrial hunt. They seemed to have the most training, but they were still a little rough around the edges. The eccentricities they displayed seemed to be surface only - not coming from a real, organic place within. Ms. Johnson, in particular, is an interesting case. She definitely has a presence Â? a Midwestern charm about her, but that charisma belies the multitude of issues her character is supposed to have. She struggles to portray the idiosyncrasies that stem from a supposed life of solitude and (slave?) labor, relying on stock gestures like eye rolls, lip biting and stammering to suggest her discomfort with the outside world.<br /><br />I mentioned in the first paragraph that TWO HARBORS is not completely without merit and here's what I mean. Without giving too much away, there is a fade to white an hour into the film. After that, the story takes a stunning turn, which allows the last fifteen minutes to be evocative and downright powerful Â? it's like a sucker punch to the gut, but in a good way. It's almost a huge relief to feel something after so long with these characters. The last five minutes of the film don't have any dialogue at all and the result is the best part of the film Â? subtle, detailed (Cole does his best work of the film) and most importantly, cinematic. Then, with the closing credits comes the most staggering revelation of all Â? that it's based on a true story, which got me to thinking. With all the dialogue, the minimal locations and the lack of cinematic qualities, it occurred to me that with two kick ass actors and a tightening re-write, TWO HARBORS might make a really kick-ass stage play Â? maybe even a one-act. If there are any bold theater producers out there reading this, I definitely recommend seeing if you can get a hold of the film and contact the filmmaker, Reel 13 or whomever. There might be something to this story after allÂ?<br /><br />(For more information on this or any other Reel 13 film, check out their website at www.reel13.org)",0
"A Â£3.50 DVD can be a gamble and this was one that sort of paid off.<br /><br />A decent Saturday Night type movie that entertains if you gloss over the obvious plot flaws. Special effects are a bit few and far between with some repetition (and why does London always look as if it's in the 60's ?)<br /><br />If it had the budget of, say, Armageddon then I'm sure it would have performed better at the Box Office as the story is quite a good one.<br /><br />Overall, Tycus is consigned to B movie history but if you see it for Â£3.50 then it's worth buying.",1
"This is a great film in many different ways...perhaps the most important is that it introduces Western audiences to the remarkable, tragic story of Aung San Suu Kyi and her fight for freedom and democracy. Wonderful acting, gorgeous cinematography, breathtaking action and suspense: ""Beyond Rangoon"" has everything. I've seen this movie several times over the last ten years and each time it means more to me. Not everyone will like it (hence the relatively low rating on IMDb), but that's because it is not conventional Hollywood dumbtainment; rather, it challenges the viewer on several levels. I've never watched it without sobbing at the end and promising to live a more meaningful life.",1
This short film doesn't get there. Cliche' and not very funny attempt at dark humor. Humor isn't funny enough to get you interested and the protagonist isn't likeable so you really don't care about what happens anyway. Producer spent some money on this flop and it shows in the production value which is the only saving grace.,0
"/* slight spoilers */<br /><br />Way back, before Evangelion was made, before Hideaki Anno was an idol and household name for many anime fans, and before Gainax had reached the status of fanfavorite, Gunbuster was made. With only Wings of Honneamise made by Gainax at that time, and the famous Otakon shorts or course, Gunbuster had some tough acts to follow up. It didn't make it easier on itself by picking out a genre that was already done countless times before, space opera.<br /><br />Luckily, Gainax decided to put it out as a six-part OAV (direct to video) series. This allows the series to have a bigger scope than would have been possible if it was made into a film. This also prevents it from becoming too boring and overly long, with lots of pointless battles and filler along the way. Besides that, they made some effort to stay clear from the tested space opera mechanics used in Macross or Gundam, and many other popular space operas.<br /><br />For one, the shows starts out pretty light, with Noriko in the Okinawa High School for mechapiloting. Noriko is the daughter of a respected ship commander who died in battle, when she was still a little kid. This makes her life at the academy quite hard, as some of her fellow classmates start to suspect that Noriko is favored by the professors. The first episode is pretty much a comedy drama, with a very tight focus on the characters and setting of the school. Things quickly change when the threat of an alien invasion is announced, and Noriko and Kazumi (best girl in class) are chosen to help the assembled fleet out.<br /><br />The middle bulk of Gunbuster leaves our female lead in space, focusing on both personal drama and action. A couple more characters are introduced, and parts of Noriko's past are dragged up again. Besides that, the alien threat becomes more imminent every minute, and the Gunbuster, mankind's final hope, is presented. Smart as writer Okada was, he incorporated the principles of time dilation, to spice things up a bit. In short, time moves slower for those who travel at the speed of light. This means that Noriko can be part of a war that takes almost a century to complete. Also the dramatic aspect of this is accentuated, when Noriko sees her friends again on her return to base, who have aged considerably more than her. The science might not be perfect, but it's presented in a pretty believable way, with even some SD science theatre shorts in between the episodes, where Noriko, Kazumi and their coach give a short description of the scientific principles used in the series.<br /><br />The animation, for a series made in the 80s, is definitely good. The designs are retro 80s style of course, but it has it's charm. Animation is fluent enough and the character designs are nice, although the costumes do betray<br /><br />some of the fanservice fascination Gainax will later exploit to the fullest. The mechas throughout the shows are pretty cool too, with the Gunbuster as the ultimate killing machine, strong and vast. The last episode was entirely done in black and white. While it's generally believed (but not confirmed) that this was done for budget reasons, it lends a whole different atmosphere to the series, which is suited perfectly for the latter part.<br /><br />The music is very typical space opera fair. Too bombastic in places, very generic, and definitely not worth buying. It does fit the series for the most part, but it can become quite annoying at times. Tanaka is not really a famous composer, and the only other respectable series he's worked on is Dragon Half. If you think 80s anime music, you will know what to expect.<br /><br />As the series progresses, the focus slowly shifts from drama to space opera to epic battle, but in such a way the viewer will hardly notice this. Step by step the drama will be toned down, and the battles will take the front row. Neither aspect is ever left completely out though. With the last episode in sight, Noriko and crew are fighting for the further existence of human kind, and with the last battle in sight, certain questions are presented to the audience, concerning to position of the human race in the galaxy, and how far it can go to guarantee self-preservation. While they are never answered later on, they still present some interesting food for thought. The last episode is very epic, with a nice, but quite predictable ending, though not all endings should contain numerous outlandish twists of course. Again, it fits the series.<br /><br />Gunbuster may sound like your average space opera anime at first, with alien invasions, huge battles, and some personal drama, and for the bigger part, it is. But it is done exceptionally well for a change. Instead of going for a steady mix of former elements, six episodes long, Gunbuster presents us a change from small scale drama to large scale epic heroism. Along the way we meet with some various interesting and well fleshed-out characters, which mutual relationships changing heavily due to the time dilation phenomenon. The show is very tightly written, although it does tend to slip up at some points. Overly dramatic occurrences and too cheesy mecha attacks could have been easily avoided. Overall, the trip Gunbuster takes you on is a very relaxed, sometimes sad, sometimes heroic one. It might not have shattered the boundaries and limits of the space opera genre, but at least it bend them a little. Highly enjoyable anime classic, but not without flaws.<br /><br />***/*****",1
"I love this movie and all aspects of it, well directed as a comedy and as a drama. The acting is tremendous, performed by an all-star cast who play the high society New York perfectly. The scenery is incredible, totally breathtaking. I also love the story: a successful NYC architect who is going through a midlife crisis leaves his cheating wife and runs off to a Greek island to hide out with his daughter who chooses to go with him.<br /><br />I just cannot express my love affair enough regarding this movie. ""Show me the magic"".",1
"Contrary to my principles, let me first come up with a conclusion, because I have just seen this piece of ""art"", and still am under strong impressions. The reader is asked to excuse my stronger vocabulary.<br /><br />Well, this movie is absolutely horrible, and I would never bother to write a single word about it, if it were not for the fact that ""44 Minutes"" made me sick to death, which rarely happens to me. The fact that I paid for that does not exactly makes me feel better, as well as the fact the movie deserved the high user rating here.<br /><br />So what is wrong with the movie? It has a fashionable title - ""44 Minutes"". One first thinks about ""15 Minutes"", which is by the way a much better movie, but still bad in my book, and indeed the two can be compared to some extent. But, as luck would have it, the things they share are their worst characteristics. They both feature Mr. Oleg Taktarov, who with his strong Russian accent obviously meets the popular expectations and prejudices. His purpose is to appeal to the Cold War mind. Ah, do we miss the good old times. Now, I don't imply that he is a bad actor, I am yet to judge his true performance, but he is simply not a true individual here, he is more like an archetype. How anyone can still indulge in such things is completely beyond my comprehension. We can recognize modern American xenophobia here. The point in the movie when Taktarov explains to his companion that Romanians are not Germans, and that they are in America is truly laughable. Are we to assume that the greatest desire of the wretched duo is to become ""true"" Americans? <br /><br />Then, there is the media issue. Yes, it seems that the most of what we learn comes from cameras, interviews and reporters. The director should have made us feel the rhythm of the presumed 44 minutes. Instead he bores us with interviews throughout the movie like in a cheap TV show, trying to reinvent the wheel. In 15 Minutes the issue of media is the central one.The point is presented in a way a teacher addresses an obtuse student, but that deserves a separate comment, we are focusing on 44 Minutes now. So, I have been trying to identify the purpose of this movie. What is it? To provide good time for the audience? To glorify weapons? To glorify police? Portray violence? Oh yes, the officer gives the Bible to the underage delinquent. So it must promote peace and understanding after all? I don't think so, but don't ask me. I only know I didn't enjoy any of this.<br /><br />Ah, Michael Madsen. I admit, I am a big fan. I hoped he would be a bright point, but I was wrong. It's not his fault though. <br /><br />As the final note, comparing ""firepower"" to ""willpower"" at the end of the movie was one of the worst lines I have ever heard.<br /><br />To summarize, on the scale 1-10, I give it a pure, unadulterated 1.",0
